Order Date,SKU ID,Order Quantity
6/30/2022,3495CA,10
1/5/2023,3193AA,1
8/12/2022,1499AA,204
1/8/2023,2953CA,1
1/31/2023,3502BA,12
4/2/2022,3365CA,50
12/16/2022,2513CA,1
6/10/2022,2227AA,2
3/29/2023,1486CA,1
7/13/2022,2277AA,759
12/27/2022,2115CA,5
3/10/2022,1479CA,3
6/10/2022,1993AA,520
9/18/2022,2348BA,1
3/10/2023,1953AA,1
6/16/2022,1921AA,1
6/8/2022,1193BA,144
5/8/2022,2227AA,2
7/11/2022,2212CA,6
11/8/2022,1945AA,1
7/30/2022,1970CA,10
3/2/2022,2054AA,5
3/14/2023,3365CA,6
2/3/2023,2956AA,9
5/23/2023,2173CA,4
10/14/2022,1077CA,1809
6/5/2022,2236CA,1
11/18/2022,3461CA,1
2/24/2023,3512AA,1
12/3/2022,1009AA,110
2/24/2023,1906CA,1
7/9/2022,2021CA,3
6/5/2022,1990AA,35
4/2/2023,2212AA,1
3/27/2023,2229AA,3
2/26/2023,3407CA,4
1/31/2023,1624AA,4
11/28/2022,3462AA,100
6/8/2023,1083AA,46
9/5/2022,1992AA,640
6/3/2023,3494AA,350
7/10/2022,1479CA,12
3/27/2022,1970CA,195
2/24/2023,3193AA,19
10/10/2022,3576BA,3
3/6/2022,3461CA,25
4/4/2023,2763CA,225
6/13/2023,2555CA,8
6/28/2022,1630BA,2
6/7/2023,2021CA,3
9/9/2022,1214CA,27
8/14/2022,1497CA,20
5/23/2022,1906CA,2
3/6/2023,2337CA,350
2/28/2022,3025CA,1
4/19/2023,1624AA,5
9/28/2022,1745BA,3
8/4/2022,1708AA,3
6/21/2022,1499CA,2
1/14/2023,2021CA,3
9/13/2022,2337CA,94
3/16/2022,3053AA,6
10/11/2022,1126CA,1500
7/1/2022,1382CA,10
5/28/2023,2766AA,38
7/13/2022,2315BA,250
12/15/2022,2337CA,175
3/17/2022,2767AA,147
4/1/2022,1379CA,7
9/23/2022,2632AA,335
3/29/2023,2925CA,52
4/15/2023,3512AA,3300
9/22/2022,3250CA,200
5/30/2023,1255CA,1
2/7/2022,1497CA,80
8/3/2022,2212AA,6
7/11/2022,2923CA,8
9/4/2022,2044CA,6
4/2/2023,1967BA,8
2/2/2023,1163CA,80
1/26/2023,2317CA,90
4/25/2023,3399AA,1
10/28/2022,3576BA,3
2/8/2022,2173CA,2
6/24/2022,1193BA,8
7/30/2022,2053BA,1
3/30/2022,2227AA,2
1/7/2023,3533CA,500
11/7/2022,1193BA,110
2/23/2023,1163CA,44
8/2/2022,2970CA,1
2/24/2022,3399AA,3
4/27/2022,1130AA,29
1/12/2023,1907AA,1
5/5/2022,2265BA,1
7/17/2022,1695CA,1
4/26/2022,3138CA,2
11/7/2022,2767AA,525
11/26/2022,2170BA,5
3/28/2022,3132BA,3
5/23/2022,1956AA,1
8/17/2022,2646AA,17
6/1/2022,2766AA,225
5/18/2022,1586CA,30
6/20/2022,2016CA,55
1/5/2023,2291AA,226
5/13/2022,1497CA,32
5/14/2022,3271CA,2
6/14/2022,3619CA,1400
7/25/2022,3138CA,4
11/28/2022,2564BA,21
8/12/2022,2317CA,260
1/16/2023,3619CA,1412
8/14/2022,1499CA,2
6/30/2022,2025AA,8
4/14/2022,1967BA,565
3/5/2023,3345AA,4
9/23/2022,2508BA,1
6/12/2023,2930CA,2
3/11/2023,2212CA,2
11/23/2022,1964BA,17.5
1/17/2023,1479CA,4
9/7/2022,2189CA,3
10/27/2022,2501CA,13
3/17/2023,2564BA,252
11/19/2022,1479CA,1
3/18/2023,1130AA,420
6/25/2022,1385CA,8
10/11/2022,3404CA,3
6/8/2022,3462AA,400
8/27/2022,1161AA,20
10/1/2022,1193BA,2
1/26/2023,3193AA,10
5/3/2022,1234BA,187
11/29/2022,1224AA,12
4/15/2022,3461CA,1
11/15/2022,3407CA,4
5/6/2022,2727CA,126
5/3/2022,3193AA,1
1/25/2023,1630BA,2
8/5/2022,2766AA,25
5/25/2022,1497CA,6
5/11/2023,1366BA,1
4/17/2023,2956AA,23
2/17/2022,2729AA,230
2/27/2022,3576BA,2
11/18/2022,1990AA,32.5
7/25/2022,1206BA,56
1/29/2023,1497CA,350
3/11/2022,1650AA,182
6/12/2023,2265BA,1
4/3/2022,2336BA,885
3/17/2023,3053AA,20
6/17/2022,2956AA,14
3/27/2023,1479CA,20
2/6/2023,1979AA,40
6/5/2022,2227AA,4
3/30/2023,3551CA,200
4/7/2023,2173CA,3
6/4/2023,1193BA,215
8/9/2022,3053AA,15
11/25/2022,2621AA,319
4/18/2023,2956AA,4
12/7/2022,2331CA,35
9/10/2022,2342CA,150
12/4/2022,2953CA,2
11/13/2022,3025CA,1
2/28/2022,1499AA,250
12/17/2022,2867AA,10
9/28/2022,1681CA,13
9/21/2022,3462AA,20
5/8/2023,2227AA,2
3/12/2023,3084CA,3
7/24/2022,3619CA,1020
10/21/2022,2236CA,1
2/20/2023,2200CA,20
5/5/2022,2315BA,200
1/30/2023,1601AA,7
10/31/2022,3177CA,67.5
12/12/2022,1385CA,7
11/5/2022,1624AA,1
7/23/2022,1193BA,67
5/5/2023,2212CA,1
3/16/2022,2200CA,1
4/20/2022,1584BA,1
8/23/2022,2498CA,1
9/9/2022,1990AA,25
5/3/2023,3556AA,6
3/8/2022,1130AA,300
7/12/2022,1379CA,35
2/1/2022,3399AA,1
1/28/2023,3160BA,3
4/8/2022,2953BA,40
7/24/2022,2847BA,110
9/30/2022,1708AA,9
5/30/2022,2621AA,354
8/13/2022,1994AA,20
11/27/2022,2013AA,70
5/15/2023,1366BA,1
3/26/2022,2396CA,400
4/16/2023,2785BA,475
5/15/2022,3462AA,50
11/12/2022,2513CA,1
4/21/2023,1953AA,1
5/1/2023,3053AA,18
5/23/2022,3512AA,1221
3/6/2022,2621AA,168
4/14/2023,3413AA,10
4/3/2023,1990AA,1.5
5/10/2023,2025AA,2
11/29/2022,3399AA,2
6/13/2023,2970CA,10
1/14/2023,1630BA,3
7/4/2022,3512AA,3150
3/21/2022,1479CA,10
8/6/2022,1511CA,10
12/13/2022,1956CA,1
8/19/2022,1479CA,4
10/29/2022,2956AA,32
3/3/2023,2923CA,1
5/21/2023,3616CA,2
9/19/2022,1464AA,1
8/12/2022,3448CA,20
2/8/2023,2396CA,1376
2/7/2022,3413AA,2
5/7/2022,3358BA,4
7/14/2022,1945AA,1
11/29/2022,2041CA,5
10/26/2022,3079BA,24
7/14/2022,3448CA,100
2/26/2023,1193BA,4
1/12/2023,2189CA,3
8/25/2022,1382CA,9
1/28/2023,2953BA,60
10/28/2022,2291AA,380
1/9/2023,1330CA,1
1/23/2023,1317CA,1
12/4/2022,3512AA,200
5/12/2022,2729AA,19
4/18/2023,2621AA,16
7/14/2022,3160BA,4
2/10/2023,2267CA,123
3/2/2023,2212AA,5
12/31/2022,3556AA,10
4/17/2022,3120BA,5
4/27/2023,1624AA,3
5/6/2023,2867AA,5
5/21/2022,2803BA,250
12/25/2022,2054CA,3
2/13/2022,3079BA,330
5/3/2022,1161AA,86
9/16/2022,1077CA,100
5/4/2023,2923CA,4
10/14/2022,3053AA,11
7/1/2022,1009AA,58
2/11/2023,3512AA,1000
10/7/2022,2867AA,62
5/12/2022,2115CA,3
4/5/2023,2212CA,3
4/15/2023,1379CA,2
5/27/2022,2935BA,2
4/14/2023,2317CA,145
1/4/2023,1479CA,3
2/9/2022,2223AA,1
5/26/2023,1967BA,5
7/16/2022,2200CA,4
4/7/2022,2331CA,77
3/3/2023,3512AA,1000
4/4/2022,2930CA,1
7/10/2022,1695CA,1
12/3/2022,2515BA,230
6/6/2022,1009AA,280
8/18/2022,2938CA,1
11/26/2022,2139BA,1
12/4/2022,3413AA,10
3/3/2023,3193AA,1
6/15/2022,2227AA,1
8/19/2022,1479CA,4
1/24/2023,2867AA,3
8/28/2022,3404CA,5
8/6/2022,3399AA,3
10/13/2022,1993AA,125
6/4/2022,2315BA,300
5/27/2022,2714CA,183
8/16/2022,2501CA,315
2/4/2022,2680BA,17
2/2/2022,2970CA,1
3/9/2023,1163CA,53
6/22/2022,2212AA,11
10/11/2022,2555CA,18
9/27/2022,1445BA,2
2/26/2022,2396CA,924
4/28/2022,1953AA,1
1/21/2023,3053AA,7
6/8/2023,2515BA,50
6/9/2022,1464AA,1
11/26/2022,2013AA,142.5
7/18/2022,1967BA,1225
7/28/2022,2326CA,40
2/27/2022,3512AA,683
12/12/2022,1385CA,7
3/15/2023,1906CA,1
4/6/2022,2342CA,500
6/30/2022,2564BA,4
4/4/2022,1077CA,6306
5/1/2023,3193AA,3
8/15/2022,1479CA,5
6/8/2023,2025AA,26
5/21/2023,3399AA,3
3/17/2023,1695CA,1
12/13/2022,3404CA,3
6/22/2022,2227AA,2
12/15/2022,2994CA,1
11/3/2022,2956AA,6
5/22/2022,1907AA,1
2/5/2022,1163CA,37
7/31/2022,3161BA,150
11/13/2022,1009AA,200
4/8/2022,2988AA,1
5/21/2022,1601AA,4
2/17/2023,2953CA,2
5/14/2022,3345AA,5
10/12/2022,1161AA,200
1/22/2023,3512AA,3000
6/6/2022,3345AA,10
7/25/2022,1486CA,4
6/26/2022,1497CA,26
3/9/2022,1995AA,75
2/18/2022,1145BA,100
11/18/2022,3079BA,55
7/28/2022,2326CA,72
8/16/2022,2317CA,900
3/26/2022,2935BA,10
3/28/2023,2956AA,4
5/12/2023,2867AA,13
1/25/2023,1970CA,152.5
8/23/2022,2229AA,2
10/23/2022,3461CA,5
12/8/2022,3495CA,15
6/11/2023,3084CA,1
9/15/2022,3590BA,6
9/24/2022,3079BA,12
10/11/2022,2326CA,445
9/30/2022,3413AA,23
2/22/2023,1993AA,180
5/31/2022,3345AA,8
12/3/2022,2170BA,4
3/23/2022,2938CA,3
9/26/2022,1624CA,5
9/18/2022,3404CA,10
3/27/2022,3365CA,50
12/7/2022,2326CA,255
6/15/2022,3079BA,33
10/8/2022,2930CA,7
6/8/2022,1511CA,24
6/18/2022,1214CA,55
3/23/2022,2923CA,1
4/1/2023,2234AA,4
1/19/2023,1445BA,1
7/10/2022,2189CA,5
2/6/2023,3084CA,1
3/30/2022,3407CA,1
8/9/2022,2025AA,5
9/30/2022,2606AA,4
3/25/2022,1971AA,25
4/30/2022,1695CA,1
4/1/2023,2060AA,15
6/1/2023,2763CA,2268
2/17/2022,1956AA,1
6/1/2022,2840AA,1739
2/11/2022,3160BA,2
3/12/2023,1956CA,2
2/26/2023,3250CA,500
12/18/2022,3250CA,100
10/3/2022,2555CA,6
11/24/2022,2923CA,1
1/15/2023,3404CA,5
1/21/2023,1876AA,1
6/27/2022,1464AA,6
12/5/2022,2508BA,2
7/20/2022,3576BA,3
4/30/2022,2170BA,4
12/15/2022,1163CA,20
6/5/2022,2621AA,10
6/27/2022,1083AA,4700
3/31/2022,1992AA,595
12/6/2022,1163CA,70
5/8/2023,1193BA,16
11/19/2022,1382CA,7
10/6/2022,1161AA,453
2/20/2022,2212AA,5
7/21/2022,2953CA,2
5/23/2023,3075AA,1
2/15/2022,2060AA,2
3/23/2023,3610AA,8
5/23/2023,3494AA,30
3/17/2023,2342CA,100
1/17/2023,2501CA,578
5/2/2022,2044CA,4
3/30/2023,1601AA,5
1/10/2023,1953AA,1
2/5/2022,2227AA,7
10/17/2022,1445BA,2
5/5/2022,2060AA,2
4/22/2023,1964BA,225
4/26/2023,2025AA,5
6/2/2023,2501CA,1159
4/9/2023,3576BA,3
4/27/2023,1741BA,3
5/16/2022,3193AA,5
4/30/2022,2039CA,4
5/15/2023,1145BA,80
4/16/2022,1970CA,55
4/8/2023,2293AA,4568
3/12/2022,3551CA,200
4/25/2022,2953CA,2
1/17/2023,3025CA,1
10/13/2022,2803BA,8
4/5/2023,2331CA,60
6/25/2022,3407CA,5
11/11/2022,2953CA,1
10/5/2022,2277AA,59
1/1/2023,3177CA,56.25
4/13/2022,2060AA,1
1/30/2022,3551CA,105
8/11/2022,3533CA,4200
3/23/2022,1956CA,1
8/11/2022,2513CA,4
3/15/2023,3407CA,5
12/30/2022,2501CA,316
4/28/2023,2044CA,4
11/1/2022,1497CA,71
2/15/2023,1624AA,2
5/4/2023,1908AA,1
5/28/2022,2293AA,65
11/13/2022,3407CA,3
5/12/2022,2606AA,2
2/18/2022,2501CA,65
3/31/2022,3512AA,2400
7/29/2022,1145BA,120
6/3/2022,2621AA,6
3/25/2023,2173CA,3
3/16/2023,3579CA,6
3/3/2022,1479CA,20
11/26/2022,2876CA,227
3/16/2022,1464AA,1
6/5/2022,3420AA,8
5/10/2022,3143CA,6
11/18/2022,3448CA,12
3/14/2023,2501CA,945
6/6/2023,1967BA,10
12/13/2022,2680BA,4
3/3/2022,2173CA,11
6/7/2022,3365CA,5
4/22/2022,2025AA,22
5/18/2023,2484BA,74
12/14/2022,2953BA,40
3/1/2022,1964BA,155
8/14/2022,2564BA,12
5/5/2022,1130AA,1400
7/31/2022,1317CA,1
7/20/2022,3075AA,1
5/29/2022,2501CA,200
1/9/2023,2021CA,10
2/16/2023,1956AA,1
6/3/2022,2935BA,9
9/22/2022,2953BA,66
6/1/2023,3533CA,1000
6/12/2022,2498BA,1
3/17/2022,2938CA,3
10/11/2022,2212AA,4
1/1/2023,2212CA,3
1/31/2022,2953CA,1
2/13/2023,2814BA,288
4/2/2022,3079BA,24
4/3/2023,2498BA,2
4/3/2022,1479CA,10
6/14/2022,3358BA,2
3/13/2023,2396CA,50
5/30/2023,3502BA,150
8/11/2022,3138CA,6
12/7/2022,2326CA,87
6/7/2022,1956CA,1
8/28/2022,1479CA,5
12/7/2022,1584BA,1
5/10/2023,2013AA,240
4/13/2022,3551CA,400
2/18/2023,3502BA,1
8/4/2022,3420AA,1
9/1/2022,1956CA,2
6/27/2022,3358BA,1
5/10/2023,1993AA,240
10/30/2022,2170BA,2
9/28/2022,3250CA,100
5/1/2023,1624AA,5
3/21/2022,2508BA,1
4/29/2022,2315BA,4
8/21/2022,3404CA,12
10/17/2022,2189CA,3
4/23/2023,2173CA,1
1/29/2023,3551CA,30
8/27/2022,1009AA,55
7/22/2022,2025AA,3
12/3/2022,2938CA,1
3/12/2022,1385CA,7
5/6/2022,3138CA,4
5/28/2022,1077CA,3017
4/28/2022,2039CA,2
12/15/2022,1382CA,8
2/4/2023,1486CA,1
12/29/2022,3404CA,1
4/23/2023,2752AA,46
4/14/2022,1255CA,1
6/6/2022,3619CA,3800
9/30/2022,2212AA,11
1/12/2023,3358BA,2
6/4/2022,3551CA,750
6/13/2022,3619CA,4000
6/8/2023,1971AA,65
7/5/2022,3365CA,4
3/10/2022,3413AA,3
7/9/2022,2970CA,1
10/18/2022,2501CA,25
3/28/2023,2923CA,14
12/10/2022,1907AA,1
4/25/2023,1979AA,60
3/5/2023,2953BA,60
10/24/2022,2013AA,120
1/7/2023,3079BA,3
11/7/2022,2501CA,17
12/5/2022,1624AA,2
12/29/2022,2013AA,21
2/28/2022,2291AA,422
2/20/2022,1499CA,2
2/14/2022,1479CA,5
5/9/2023,3132BA,1
7/17/2022,2953BA,60
11/20/2022,2767AA,8
5/31/2022,2317CA,341
8/26/2022,3551CA,100
2/28/2023,2418CA,16
11/4/2022,3407CA,2
5/30/2023,3404CA,2
3/17/2023,1499CA,2
1/16/2023,3420AA,2
7/31/2022,3420AA,2
8/2/2022,2044CA,3
1/3/2023,2317CA,200
1/31/2023,2953CA,1
6/16/2022,3420AA,2
9/9/2022,1695CA,2
1/6/2023,1163CA,8
1/9/2023,2229AA,4
4/11/2023,3084CA,1
5/31/2023,3160BA,5
5/24/2023,3551CA,100
1/4/2023,1130AA,179
7/12/2022,3461CA,5
3/23/2023,2564BA,110
7/26/2022,2714CA,2268
7/31/2022,3125AA,1
11/1/2022,3551CA,1100
7/13/2022,3556AA,12
5/9/2023,2923CA,7
5/26/2023,3590BA,4
5/20/2023,2053BA,3
5/5/2022,2277AA,1384
11/30/2022,2212AA,3
5/30/2022,1956CA,2
5/19/2022,2803BA,666
8/26/2022,2170BA,11
5/26/2023,2315BA,144
4/14/2022,2096BA,11
4/2/2022,1486CA,20
8/31/2022,1497CA,26
11/1/2022,2013AA,102
4/5/2023,2170BA,5
1/30/2023,2331CA,65
5/22/2022,2938CA,3
12/4/2022,2170BA,11
2/26/2022,3576BA,10
12/24/2022,1695CA,1
5/6/2023,1445BA,2
5/22/2023,3053AA,32
6/13/2023,3590BA,6
10/1/2022,2988AA,1
11/24/2022,3461CA,4
6/3/2023,3576BA,6
11/18/2022,3551CA,105
12/27/2022,2317CA,750
3/16/2023,2930CA,1
1/18/2023,3075AA,1
9/17/2022,1145BA,12
7/28/2022,3590BA,8
10/20/2022,2331CA,450
2/26/2023,3160BA,5
4/15/2022,1695CA,1
5/8/2022,1464AA,2
2/23/2022,1995AA,1.5
3/30/2022,2293AA,100
10/4/2022,2326CA,83
9/16/2022,3161BA,6
1/7/2023,1499AA,143
12/22/2022,1445BA,1
6/26/2022,2714CA,2
1/30/2022,3079BA,151
4/13/2022,2189CA,12
10/29/2022,1945AA,1
4/9/2023,1921AA,2
1/28/2023,2604CA,16
5/9/2023,3025CA,1
4/19/2022,2173CA,5
1/26/2023,2953CA,1
11/8/2022,2291AA,14
2/23/2023,2513CA,1
6/5/2023,1479CA,1
3/9/2022,3075AA,2
3/9/2023,2044CA,12
3/25/2023,2953BA,62
11/30/2022,3413AA,5
12/30/2022,3084CA,1
2/2/2022,2229AA,3
8/19/2022,3494AA,60
5/2/2022,3494AA,30
7/7/2022,3404CA,10
7/13/2022,2021CA,5
5/11/2022,2054CA,2
3/4/2023,2953BA,60
4/17/2023,1161AA,39
7/24/2022,2956AA,4
5/28/2023,1907AA,1
6/4/2023,2013AA,7.5
11/14/2022,1624CA,2
5/15/2022,1193BA,394
2/13/2023,1009AA,51
8/4/2022,2220BA,3
7/13/2022,1479CA,3
6/18/2022,2970CA,3
3/14/2023,2189CA,5
5/16/2023,3084CA,1
6/6/2022,2060AA,4
4/29/2023,1116CA,1000
10/31/2022,1695CA,1
4/11/2022,1317CA,1
2/25/2022,2234AA,1
4/29/2023,2060AA,4
12/6/2022,3025CA,10
4/12/2022,2662CA,10
5/2/2023,1630BA,10
3/8/2023,1161AA,224
11/23/2022,1584BA,1
10/18/2022,2498CA,1
12/24/2022,2956AA,11
3/28/2023,2935BA,15
4/28/2023,1265CA,1
12/16/2022,3084CA,1
5/13/2022,1130AA,53
4/7/2023,2515BA,37
1/26/2023,2265BA,5
12/17/2022,3494AA,60
7/17/2022,2564BA,70
3/16/2023,3423CA,1
2/25/2022,2173CA,4
2/27/2022,1163CA,75
5/22/2023,2265BA,2
2/16/2022,3079BA,18
6/11/2022,3619CA,1846
11/17/2022,3250CA,210
10/18/2022,2498BA,1
3/21/2023,2956AA,48
5/19/2022,1601AA,1
11/12/2022,3461CA,25
6/30/2022,1994AA,750
3/28/2023,1964BA,35
7/31/2022,2429BA,6953
8/12/2022,2662CA,30
1/31/2022,1990AA,105
7/2/2022,2673BA,400
2/19/2023,2606AA,3
2/5/2022,2673BA,215
11/16/2022,1908AA,1
7/7/2022,1499AA,20
2/16/2022,2867AA,53
6/2/2023,2471CA,700
1/1/2023,2646AA,14
10/27/2022,3358BA,1
3/10/2022,1130AA,360
3/3/2023,1083AA,7410
4/18/2022,3533CA,3100
5/20/2022,1403CA,1
2/24/2022,3462AA,50
12/29/2022,3619CA,8000
10/5/2022,1479CA,6
2/1/2023,3378CA,250
8/21/2022,2513CA,1
3/4/2023,3619CA,7421
2/4/2023,3407CA,1
8/13/2022,2265BA,2
6/6/2022,1971AA,260
4/21/2022,2337CA,25
2/22/2022,1130AA,116
9/18/2022,1379CA,9
8/20/2022,3448CA,20
1/30/2023,3358BA,1
3/25/2022,2170BA,3
8/8/2022,1624CA,4
2/4/2023,1907AA,1
1/3/2023,1130AA,53
2/15/2022,1163CA,63
3/26/2022,1624AA,1
2/14/2023,2803BA,126
11/11/2022,3448CA,30
10/2/2022,2229AA,3
3/27/2022,2714CA,81
5/19/2022,3160BA,10
4/21/2023,3193AA,5
10/6/2022,2265BA,2
8/24/2022,1083AA,219
6/1/2023,2640BA,144
3/20/2022,3250CA,150
5/12/2022,1009AA,450
6/6/2022,1511CA,9
3/10/2023,2501CA,294
11/5/2022,3125AA,1
10/16/2022,1906CA,2
4/23/2023,1379CA,8
4/22/2022,3576BA,2
6/4/2023,1970CA,48
5/13/2022,1009AA,220
12/18/2022,3345AA,60
7/1/2022,2953CA,7
2/2/2023,3053AA,22
11/15/2022,2066AA,3
7/11/2022,3462AA,50
2/22/2022,2867AA,31
9/3/2022,1695CA,1
12/17/2022,1601AA,1
10/9/2022,1445BA,1
7/9/2022,3025CA,1
4/24/2022,3494AA,30
1/14/2023,1193BA,130
4/6/2023,2021CA,30
2/24/2023,3556AA,2
2/10/2023,1479CA,2
5/24/2023,2970CA,1
11/3/2022,1511CA,20
1/30/2022,3250CA,300
10/31/2022,1906CA,1
3/29/2023,3551CA,100
2/8/2022,3619CA,330
10/22/2022,3404CA,10
4/13/2022,1385CA,7
5/7/2022,2277AA,190
11/4/2022,3160BA,10
8/6/2022,2766AA,500
4/12/2023,3512AA,3000
3/2/2022,2227AA,200
2/3/2022,1908AA,1
2/9/2023,2234AA,3
10/1/2022,1445BA,1
4/13/2023,3125AA,243
4/1/2022,1163CA,110
12/12/2022,1295CA,1
6/9/2023,1990AA,35
4/20/2023,2236CA,1
12/20/2022,1265CA,1
5/16/2023,3358BA,1
1/12/2023,2013AA,2
6/4/2023,1009AA,1810
4/20/2022,1145BA,17
2/8/2023,3461CA,5
6/10/2022,2025AA,20
2/1/2023,1624CA,1
5/23/2023,1695CA,1
6/6/2023,1479CA,3
7/12/2022,2013AA,135
12/17/2022,1601AA,5
3/7/2023,2501CA,90
6/15/2022,3079BA,12
3/27/2022,1745BA,6
8/12/2022,2229AA,2
9/25/2022,1964BA,12.5
6/6/2023,1970CA,140
1/14/2023,2331CA,128
12/30/2022,3413AA,2
6/21/2022,1193BA,30
5/9/2023,1464AA,1
2/5/2023,2606AA,1
5/18/2023,3399AA,10
5/21/2023,1497CA,70
3/5/2022,2291AA,378
5/10/2023,1126CA,310
3/2/2022,1077CA,7130
10/4/2022,1255CA,1
3/29/2022,1009AA,85
5/6/2023,3404CA,4
